	barcode	doses
1	X1_0	0
20701	X2_0	0
41401	X3_0	0
62101	X4_0	0
82801	X5_0	0
103501	X6_0	0
124201	X7_0	0
144901	X8_0	0
165601	X9_0	0
186301	X10_0	0
207001	X11_0	0
227701	X12_0	0
248401	X13_0	0
269101	X14_0	0
289801	X15_0	0
310501	X16_0	0
331201	X17_0	0
351901	X18_0	0
372601	X19_0	0
393301	X20_0	0
414001	X21_0	0
434701	X22_0	0
455401	X23_0	0
476101	X24_0	0
496801	X25_0	0
517501	X26_0	0
538201	X27_0	0
558901	X28_0	0
579601	X29_0	0
600301	X30_0	0
621001	X31_0	0
641701	X32_0	0
662401	X33_0	0
683101	X34_0	0
703801	X35_0	0
724501	X36_0	0
745201	X37_0	0
765901	X38_0	0
786601	X39_0	0
807301	X40_0	0
828001	X41_0	0
848701	X42_0	0
869401	X43_0	0
890101	X44_0	0
910801	X45_0	0
931501	X46_0	0
952201	X47_0	0
972901	X48_0	0
993601	X49_0	0
1014301	X50_0	0
1035001	X51_0	0
1055701	X52_0	0
1076401	X53_0	0
1097101	X54_0	0
1117801	X55_0	0
1138501	X56_0	0
1159201	X57_0	0
1179901	X58_0	0
1200601	X59_0	0
1221301	X60_0	0
1242001	X61_0	0
1262701	X62_0	0
1283401	X63_0	0
1304101	X64_0	0
1324801	X65_0	0
1345501	X66_0	0
1366201	X67_0	0
1386901	X68_0	0
1407601	X69_0	0
1428301	X70_0	0
1449001	X71_0	0
1469701	X72_0	0
1490401	X73_0	0
1511101	X74_0	0
1531801	X75_0	0
1552501	X76_0	0
1573201	X77_0	0
1593901	X78_0	0
1614601	X79_0	0
1635301	X80_0	0
1656001	X81_0	0
1676701	X82_0	0
1697401	X83_0	0
1718101	X84_0	0
1738801	X85_0	0
1759501	X86_0	0
1780201	X87_0	0
1800901	X88_0	0
1821601	X89_0	0
1842301	X90_0	0
1863001	X91_0	0
1883701	X92_0	0
1904401	X93_0	0
1925101	X94_0	0
1945801	X95_0	0
1966501	X96_0	0
1987201	X97_0	0
2007901	X98_0	0
2028601	X99_0	0
2049301	X100_0	0
2070001	X101_0	0
2090701	X102_0	0
2111401	X103_0	0
2132101	X104_0	0
2152801	X105_0	0
2173501	X106_0	0
2194201	X107_0	0
2214901	X108_0	0
2235601	X109_0	0
2256301	X110_0	0
2277001	X111_0	0
2297701	X112_0	0
2318401	X113_0	0
2339101	X114_0	0
2359801	X115_0	0
2380501	X116_0	0
2401201	X117_0	0
2421901	X118_0	0
2442601	X119_0	0
2463301	X120_0	0
2484001	X121_0	0
2504701	X122_0	0
2525401	X123_0	0
2546101	X124_0	0
2566801	X125_0	0
2587501	X126_0	0
2608201	X127_0	0
2628901	X128_0	0
2649601	X129_0	0
2670301	X130_0	0
2691001	X131_0	0
2711701	X132_0	0
2732401	X133_0	0
2753101	X134_0	0
2773801	X135_0	0
2794501	X136_0	0
2815201	X137_0	0
2835901	X138_0	0
2856601	X139_0	0
2877301	X140_0	0
2898001	X141_0	0
2918701	X142_0	0
2939401	X143_0	0
2960101	X144_0	0
2980801	X145_0	0
3001501	X146_0	0
3022201	X147_0	0
3042901	X148_0	0
3063601	X149_0	0
3084301	X150_0	0
3105001	X151_0	0
3125701	X152_0	0
