	Gene	Model	Direction
1	gene1	hill	Upregulated
2	gene2	hill	Upregulated
3	gene3	hill	Upregulated
4	gene4	hill	Upregulated
5	gene5	hill	Upregulated
6	gene6	hill	Upregulated
7	gene7	hill	Upregulated
8	gene8	hill	Upregulated
9	gene9	hill	Upregulated
10	gene10	hill	Upregulated
11	gene11	hill	Upregulated
12	gene12	hill	Upregulated
13	gene13	hill	Upregulated
14	gene14	hill	Upregulated
15	gene15	hill	Upregulated
16	gene16	hill	Upregulated
17	gene17	hill	Upregulated
18	gene18	hill	Upregulated
19	gene19	hill	Upregulated
20	gene20	hill	Upregulated
21	gene21	hill	Upregulated
22	gene22	hill	Upregulated
23	gene23	hill	Upregulated
24	gene24	hill	Upregulated
25	gene25	hill	Upregulated
26	gene26	hill	Upregulated
27	gene27	hill	Upregulated
28	gene28	hill	Upregulated
29	gene29	hill	Upregulated
30	gene30	hill	Upregulated
31	gene31	hill	Upregulated
32	gene32	hill	Upregulated
33	gene33	hill	Upregulated
34	gene34	hill	Upregulated
35	gene35	hill	Upregulated
36	gene36	hill	Upregulated
37	gene37	hill	Upregulated
38	gene38	hill	Upregulated
39	gene39	hill	Upregulated
40	gene40	hill	Upregulated
41	gene41	hill	Upregulated
42	gene42	hill	Upregulated
43	gene43	hill	Upregulated
44	gene44	hill	Upregulated
45	gene45	hill	Upregulated
46	gene46	hill	Upregulated
47	gene47	hill	Upregulated
48	gene48	hill	Upregulated
49	gene49	hill	Upregulated
50	gene50	hill	Upregulated
51	gene51	hill	Upregulated
52	gene52	hill	Upregulated
53	gene53	hill	Upregulated
54	gene54	hill	Upregulated
55	gene55	hill	Upregulated
56	gene56	hill	Upregulated
57	gene57	hill	Upregulated
58	gene58	hill	Upregulated
59	gene59	hill	Upregulated
60	gene60	hill	Upregulated
61	gene61	hill	Upregulated
62	gene62	hill	Upregulated
63	gene63	hill	Upregulated
64	gene64	hill	Upregulated
65	gene65	hill	Upregulated
66	gene66	hill	Upregulated
67	gene67	hill	Upregulated
68	gene68	hill	Upregulated
69	gene69	hill	Upregulated
70	gene70	hill	Upregulated
71	gene71	hill	Upregulated
72	gene72	hill	Upregulated
73	gene73	hill	Upregulated
74	gene74	hill	Upregulated
75	gene75	hill	Upregulated
76	gene76	hill	Upregulated
77	gene77	hill	Upregulated
78	gene78	hill	Upregulated
79	gene79	hill	Upregulated
80	gene80	hill	Upregulated
81	gene81	hill	Upregulated
82	gene82	hill	Upregulated
83	gene83	hill	Upregulated
84	gene84	hill	Upregulated
85	gene85	hill	Upregulated
86	gene86	hill	Upregulated
87	gene87	hill	Upregulated
88	gene88	hill	Upregulated
89	gene89	hill	Upregulated
90	gene90	hill	Upregulated
91	gene91	hill	Upregulated
92	gene92	hill	Upregulated
93	gene93	hill	Upregulated
94	gene94	hill	Upregulated
95	gene95	hill	Upregulated
96	gene96	hill	Upregulated
97	gene97	hill	Upregulated
98	gene98	hill	Upregulated
99	gene99	hill	Upregulated
100	gene100	hill	Upregulated
101	gene101	hill	Upregulated
102	gene102	hill	Upregulated
103	gene103	hill	Upregulated
104	gene104	hill	Upregulated
105	gene105	hill	Upregulated
106	gene106	hill	Upregulated
107	gene107	hill	Upregulated
108	gene108	hill	Upregulated
109	gene109	hill	Upregulated
110	gene110	hill	Upregulated
111	gene111	hill	Upregulated
112	gene112	hill	Upregulated
