barcode Dose
X1_0 X1_0 0
X2_0 X2_0 0
X3_0 X3_0 0
X4_0 X4_0 0
X5_0 X5_0 0
X6_0 X6_0 0
X7_0 X7_0 0
X8_0 X8_0 0
X9_0 X9_0 0
X10_0 X10_0 0
X11_0 X11_0 0
X12_0 X12_0 0
X13_0 X13_0 0
X14_0 X14_0 0
X15_0 X15_0 0
X16_0 X16_0 0
X17_0 X17_0 0
X18_0 X18_0 0
X19_0 X19_0 0
X20_0 X20_0 0
X21_0 X21_0 0
X22_0 X22_0 0
X23_0 X23_0 0
X24_0 X24_0 0
X25_0 X25_0 0
X26_0 X26_0 0
X27_0 X27_0 0
X28_0 X28_0 0
X29_0 X29_0 0
X30_0 X30_0 0
X31_0 X31_0 0
X32_0 X32_0 0
X33_0 X33_0 0
X34_0 X34_0 0
X35_0 X35_0 0
X36_0 X36_0 0
X37_0 X37_0 0
X38_0 X38_0 0
X39_0 X39_0 0
X40_0 X40_0 0
X41_0 X41_0 0
X42_0 X42_0 0
X43_0 X43_0 0
X44_0 X44_0 0
X45_0 X45_0 0
X46_0 X46_0 0
X47_0 X47_0 0
X48_0 X48_0 0
X49_0 X49_0 0
X50_0 X50_0 0
X51_0 X51_0 0
X52_0 X52_0 0
X53_0 X53_0 0
X54_0 X54_0 0
X55_0 X55_0 0
X56_0 X56_0 0
X57_0 X57_0 0
X58_0 X58_0 0
X59_0 X59_0 0
X60_0 X60_0 0
X61_0 X61_0 0
X62_0 X62_0 0
X63_0 X63_0 0
X64_0 X64_0 0
X65_0 X65_0 0
X66_0 X66_0 0
X67_0 X67_0 0
X68_0 X68_0 0
X69_0 X69_0 0
X70_0 X70_0 0
X71_0 X71_0 0
X72_0 X72_0 0
X73_0 X73_0 0
X74_0 X74_0 0
X75_0 X75_0 0
X76_0 X76_0 0
X77_0 X77_0 0
X78_0 X78_0 0
X79_0 X79_0 0
X80_0 X80_0 0
X81_0 X81_0 0
X82_0 X82_0 0
X83_0 X83_0 0
X84_0 X84_0 0
X85_0 X85_0 0
X86_0 X86_0 0
X87_0 X87_0 0
X88_0 X88_0 0
X89_0 X89_0 0
X90_0 X90_0 0
X91_0 X91_0 0
X92_0 X92_0 0
X93_0 X93_0 0
X94_0 X94_0 0
X95_0 X95_0 0
X96_0 X96_0 0
X97_0 X97_0 0
X98_0 X98_0 0
X99_0 X99_0 0
X100_0 X100_0 0
X101_0 X101_0 0
X102_0 X102_0 0
X103_0 X103_0 0
X104_0 X104_0 0
X105_0 X105_0 0
X106_0 X106_0 0
X107_0 X107_0 0
X108_0 X108_0 0
X109_0 X109_0 0
X110_0 X110_0 0
X111_0 X111_0 0
X112_0 X112_0 0
X113_0 X113_0 0
X114_0 X114_0 0
X115_0 X115_0 0
X116_0 X116_0 0
X117_0 X117_0 0
X118_0 X118_0 0
X119_0 X119_0 0
X120_0 X120_0 0
X121_0 X121_0 0
X122_0 X122_0 0
X123_0 X123_0 0
X124_0 X124_0 0
X125_0 X125_0 0
X126_0 X126_0 0
X127_0 X127_0 0
X128_0 X128_0 0
X129_0 X129_0 0
X130_0 X130_0 0
X131_0 X131_0 0
X132_0 X132_0 0
X133_0 X133_0 0
X134_0 X134_0 0
X135_0 X135_0 0
X136_0 X136_0 0
X137_0 X137_0 0
X138_0 X138_0 0
X139_0 X139_0 0
X140_0 X140_0 0
X141_0 X141_0 0
X142_0 X142_0 0
X143_0 X143_0 0
X144_0 X144_0 0
X145_0 X145_0 0
X146_0 X146_0 0
X147_0 X147_0 0
X148_0 X148_0 0
X149_0 X149_0 0
X150_0 X150_0 0
X151_0 X151_0 0
X152_0 X152_0 0
X153_0 X153_0 0
X154_0 X154_0 0
X155_0 X155_0 0
X156_0 X156_0 0
X157_0 X157_0 0
X158_0 X158_0 0
X159_0 X159_0 0
X160_0 X160_0 0
X161_0 X161_0 0
X162_0 X162_0 0
X163_0 X163_0 0
X164_0 X164_0 0
X165_0 X165_0 0
X166_0 X166_0 0
X167_0 X167_0 0
X168_0 X168_0 0
X169_0 X169_0 0
X170_0 X170_0 0
X171_0 X171_0 0
X172_0 X172_0 0
X173_0 X173_0 0
X174_0 X174_0 0
X175_0 X175_0 0
X176_0 X176_0 0
X177_0 X177_0 0
X178_0 X178_0 0
X179_0 X179_0 0
X180_0 X180_0 0
X181_0 X181_0 0
X182_0 X182_0 0
X183_0 X183_0 0
X184_0 X184_0 0
X185_0 X185_0 0
X186_0 X186_0 0
X187_0 X187_0 0
X188_0 X188_0 0
X189_0 X189_0 0
X190_0 X190_0 0
X191_0 X191_0 0
X192_0 X192_0 0
X193_0 X193_0 0
X194_0 X194_0 0
X195_0 X195_0 0
X196_0 X196_0 0
X197_0 X197_0 0
X198_0 X198_0 0
X199_0 X199_0 0
X200_0 X200_0 0
X201_0 X201_0 0
X202_0 X202_0 0
X203_0 X203_0 0
X204_0 X204_0 0
X205_0 X205_0 0
X206_0 X206_0 0
X207_0 X207_0 0
X208_0 X208_0 0
X209_0 X209_0 0
X210_0 X210_0 0
X211_0 X211_0 0
X212_0 X212_0 0
X213_0 X213_0 0
X214_0 X214_0 0
X215_0 X215_0 0
X216_0 X216_0 0
X217_0 X217_0 0
X218_0 X218_0 0
X219_0 X219_0 0
X220_0 X220_0 0
X221_0 X221_0 0
X222_0 X222_0 0
X223_0 X223_0 0
X224_0 X224_0 0
X225_0 X225_0 0
X226_0 X226_0 0
X227_0 X227_0 0
X228_0 X228_0 0
X229_0 X229_0 0
X230_0 X230_0 0
X231_0 X231_0 0
X232_0 X232_0 0
X233_0 X233_0 0
X234_0 X234_0 0
X235_0 X235_0 0
X236_0 X236_0 0
X237_0 X237_0 0
X238_0 X238_0 0
X239_0 X239_0 0
X240_0 X240_0 0
X241_0 X241_0 0
X242_0 X242_0 0
X243_0 X243_0 0
X244_0 X244_0 0
X245_0 X245_0 0
X246_0 X246_0 0
X247_0 X247_0 0
X248_0 X248_0 0
X249_0 X249_0 0
X250_0 X250_0 0
X251_0 X251_0 0
X252_0 X252_0 0
X253_0 X253_0 0
X254_0 X254_0 0
X255_0 X255_0 0
X256_0 X256_0 0
X257_0 X257_0 0
X258_0 X258_0 0
X259_0 X259_0 0
X260_0 X260_0 0
X261_0 X261_0 0
X262_0 X262_0 0
X263_0 X263_0 0
X264_0 X264_0 0
X265_0 X265_0 0
X266_0 X266_0 0
X267_0 X267_0 0
X268_0 X268_0 0
X269_0 X269_0 0
X270_0 X270_0 0
X271_0 X271_0 0
X272_0 X272_0 0
X273_0 X273_0 0
X274_0 X274_0 0
X275_0 X275_0 0
X276_0 X276_0 0
X277_0 X277_0 0
X278_0 X278_0 0
X279_0 X279_0 0
X280_0 X280_0 0
X281_0 X281_0 0
X282_0 X282_0 0
X283_0 X283_0 0
X284_0 X284_0 0
X285_0 X285_0 0
X286_0 X286_0 0
X287_0 X287_0 0
X288_0 X288_0 0
X289_0 X289_0 0
X290_0 X290_0 0
X291_0 X291_0 0
X292_0 X292_0 0
X293_0 X293_0 0
X294_0 X294_0 0
X295_0 X295_0 0
X296_0 X296_0 0
X297_0 X297_0 0
X298_0 X298_0 0
X299_0 X299_0 0
X300_0 X300_0 0
X301_0 X301_0 0
X302_0 X302_0 0
X303_0 X303_0 0
X304_0 X304_0 0
X305_0 X305_0 0
X306_0 X306_0 0
X307_0 X307_0 0
X308_0 X308_0 0
X309_0 X309_0 0
X310_0 X310_0 0
X311_0 X311_0 0
X312_0 X312_0 0
X313_0 X313_0 0
X314_0 X314_0 0
X315_0 X315_0 0
X316_0 X316_0 0
X317_0 X317_0 0
X318_0 X318_0 0
X319_0 X319_0 0
X320_0 X320_0 0
X321_0 X321_0 0
X322_0 X322_0 0
X323_0 X323_0 0
X324_0 X324_0 0
X325_0 X325_0 0
X326_0 X326_0 0
X327_0 X327_0 0
X328_0 X328_0 0
X329_0 X329_0 0
X330_0 X330_0 0
X331_0 X331_0 0
X332_0 X332_0 0
X333_0 X333_0 0
X334_0 X334_0 0
X335_0 X335_0 0
X336_0 X336_0 0
X337_0 X337_0 0
X338_0 X338_0 0
X339_0 X339_0 0
