Gene Model Direction
1 gene1 hill Upregulated
2 gene2 hill Upregulated
3 gene3 hill Upregulated
4 gene4 hill Upregulated
5 gene5 hill Upregulated
6 gene6 hill Upregulated
7 gene7 hill Upregulated
8 gene8 hill Upregulated
9 gene9 hill Upregulated
10 gene10 hill Upregulated
11 gene11 hill Upregulated
12 gene12 hill Upregulated
13 gene13 hill Upregulated
14 gene14 hill Upregulated
15 gene15 hill Upregulated
16 gene16 hill Upregulated
17 gene17 hill Upregulated
18 gene18 hill Upregulated
19 gene19 hill Upregulated
20 gene20 hill Upregulated
21 gene21 hill Upregulated
22 gene22 hill Upregulated
23 gene23 hill Upregulated
24 gene24 hill Upregulated
25 gene25 hill Upregulated
26 gene26 hill Upregulated
27 gene27 hill Upregulated
28 gene28 hill Upregulated
29 gene29 hill Upregulated
30 gene30 hill Upregulated
31 gene31 hill Upregulated
32 gene32 hill Upregulated
33 gene33 hill Upregulated
34 gene34 hill Upregulated
35 gene35 hill Upregulated
36 gene36 hill Upregulated
37 gene37 hill Upregulated
38 gene38 hill Upregulated
39 gene39 hill Upregulated
40 gene40 hill Upregulated
41 gene41 hill Upregulated
42 gene42 hill Upregulated
43 gene43 hill Upregulated
44 gene44 hill Upregulated
45 gene45 hill Upregulated
46 gene46 hill Upregulated
47 gene47 hill Upregulated
48 gene48 hill Upregulated
49 gene49 hill Upregulated
50 gene50 hill Upregulated
51 gene51 hill Downregulated
52 gene52 hill Downregulated
53 gene53 hill Downregulated
54 gene54 hill Downregulated
55 gene55 hill Downregulated
56 gene56 hill Downregulated
57 gene57 hill Downregulated
58 gene58 hill Downregulated
59 gene59 hill Downregulated
60 gene60 hill Downregulated
61 gene61 hill Downregulated
62 gene62 hill Downregulated
63 gene63 hill Downregulated
64 gene64 hill Downregulated
65 gene65 hill Downregulated
66 gene66 hill Downregulated
67 gene67 hill Downregulated
68 gene68 hill Downregulated
69 gene69 hill Downregulated
70 gene70 hill Downregulated
71 gene71 hill Downregulated
72 gene72 hill Downregulated
73 gene73 hill Downregulated
74 gene74 hill Downregulated
75 gene75 hill Downregulated
76 gene76 hill Downregulated
77 gene77 hill Downregulated
78 gene78 hill Downregulated
79 gene79 hill Downregulated
80 gene80 hill Downregulated
81 gene81 hill Downregulated
82 gene82 hill Downregulated
83 gene83 hill Downregulated
84 gene84 hill Downregulated
85 gene85 hill Downregulated
86 gene86 hill Downregulated
87 gene87 hill Downregulated
88 gene88 hill Downregulated
89 gene89 hill Downregulated
90 gene90 hill Downregulated
91 gene91 hill Downregulated
92 gene92 hill Downregulated
93 gene93 hill Downregulated
94 gene94 hill Downregulated
95 gene95 hill Downregulated
96 gene96 hill Downregulated
97 gene97 hill Downregulated
98 gene98 hill Downregulated
99 gene99 hill Downregulated
100 gene100 hill Downregulated
101 gene101 exp Upregulated
102 gene102 exp Upregulated
103 gene103 exp Upregulated
104 gene104 exp Upregulated
105 gene105 exp Upregulated
106 gene106 exp Upregulated
107 gene107 exp Upregulated
108 gene108 exp Upregulated
109 gene109 exp Upregulated
110 gene110 exp Upregulated
111 gene111 exp Upregulated
112 gene112 exp Upregulated
113 gene113 exp Upregulated
114 gene114 exp Upregulated
115 gene115 exp Upregulated
116 gene116 exp Upregulated
117 gene117 exp Upregulated
118 gene118 exp Upregulated
119 gene119 exp Upregulated
120 gene120 exp Upregulated
