TestName	seed	FacLoc	FacScale	CellN	deProb	deDown	libScale	Rep	Test
Test1Rep1	1235	0.8	0.4	500	0.1	0.5	1	1	1
Test1Rep2	5710	0.8	0.4	500	0.1	0.5	1	2	1
Test1Rep3	3530	0.8	0.4	500	0.1	0.5	1	3	1
Test1Rep4	4473	0.8	0.4	500	0.1	0.5	1	4	1
Test1Rep5	7223	0.8	0.4	500	0.1	0.5	1	5	1
Test1Rep6	4053	0.8	0.4	500	0.1	0.5	1	6	1
Test1Rep7	4809	0.8	0.4	500	0.1	0.5	1	7	1
Test1Rep8	4647	0.8	0.4	500	0.1	0.5	1	8	1
Test1Rep9	8446	0.8	0.4	500	0.1	0.5	1	9	1
Test1Rep10	8304	0.8	0.4	500	0.1	0.5	1	10	1
Test2Rep1	587	0.8	0.4	25	0.1	0.5	1	1	2
Test2Rep2	7342	0.8	0.4	25	0.1	0.5	1	2	2
Test2Rep3	1047	0.8	0.4	25	0.1	0.5	1	3	2
Test2Rep4	8994	0.8	0.4	25	0.1	0.5	1	4	2
Test2Rep5	3010	0.8	0.4	25	0.1	0.5	1	5	2
Test2Rep6	8787	0.8	0.4	25	0.1	0.5	1	6	2
Test2Rep7	199	0.8	0.4	25	0.1	0.5	1	7	2
Test2Rep8	7004	0.8	0.4	25	0.1	0.5	1	8	2
Test2Rep9	184	0.8	0.4	25	0.1	0.5	1	9	2
Test2Rep10	5363	0.8	0.4	25	0.1	0.5	1	10	2
Test3Rep1	9364	0.8	0.4	50	0.1	0.5	1	1	3
Test3Rep2	4697	0.8	0.4	50	0.1	0.5	1	2	3
Test3Rep3	9118	0.8	0.4	50	0.1	0.5	1	3	3
Test3Rep4	3551	0.8	0.4	50	0.1	0.5	1	4	3
Test3Rep5	6442	0.8	0.4	50	0.1	0.5	1	5	3
Test3Rep6	2980	0.8	0.4	50	0.1	0.5	1	6	3
Test3Rep7	8177	0.8	0.4	50	0.1	0.5	1	7	3
Test3Rep8	1046	0.8	0.4	50	0.1	0.5	1	8	3
Test3Rep9	697	0.8	0.4	50	0.1	0.5	1	9	3
Test3Rep10	7446	0.8	0.4	50	0.1	0.5	1	10	3
Test4Rep1	1500	0.8	0.4	100	0.1	0.5	1	1	4
Test4Rep2	2851	0.8	0.4	100	0.1	0.5	1	2	4
Test4Rep3	226	0.8	0.4	100	0.1	0.5	1	3	4
Test4Rep4	5460	0.8	0.4	100	0.1	0.5	1	4	4
Test4Rep5	7659	0.8	0.4	100	0.1	0.5	1	5	4
Test4Rep6	8484	0.8	0.4	100	0.1	0.5	1	6	4
Test4Rep7	2578	0.8	0.4	100	0.1	0.5	1	7	4
Test4Rep8	3809	0.8	0.4	100	0.1	0.5	1	8	4
Test4Rep9	7851	0.8	0.4	100	0.1	0.5	1	9	4
Test4Rep10	6474	0.8	0.4	100	0.1	0.5	1	10	4
Test5Rep1	6525	0.8	0.4	200	0.1	0.5	1	1	5
Test5Rep2	4106	0.8	0.4	200	0.1	0.5	1	2	5
Test5Rep3	7766	0.8	0.4	200	0.1	0.5	1	3	5
Test5Rep4	376	0.8	0.4	200	0.1	0.5	1	4	5
Test5Rep5	8991	0.8	0.4	200	0.1	0.5	1	5	5
Test5Rep6	2638	0.8	0.4	200	0.1	0.5	1	6	5
Test5Rep7	4805	0.8	0.4	200	0.1	0.5	1	7	5
Test5Rep8	6707	0.8	0.4	200	0.1	0.5	1	8	5
Test5Rep9	804	0.8	0.4	200	0.1	0.5	1	9	5
Test5Rep10	8986	0.8	0.4	200	0.1	0.5	1	10	5
Test6Rep1	1758	0.8	0.4	500	0.1	0.5	1	1	6
Test6Rep2	9025	0.8	0.4	500	0.1	0.5	1	2	6
Test6Rep3	3146	0.8	0.4	500	0.1	0.5	1	3	6
Test6Rep4	6629	0.8	0.4	500	0.1	0.5	1	4	6
Test6Rep5	6144	0.8	0.4	500	0.1	0.5	1	5	6
Test6Rep6	4092	0.8	0.4	500	0.1	0.5	1	6	6
Test6Rep7	844	0.8	0.4	500	0.1	0.5	1	7	6
Test6Rep8	7895	0.8	0.4	500	0.1	0.5	1	8	6
Test6Rep9	8212	0.8	0.4	500	0.1	0.5	1	9	6
Test6Rep10	4160	0.8	0.4	500	0.1	0.5	1	10	6
Test7Rep1	9823	0.8	0.4	1000	0.1	0.5	1	1	7
Test7Rep2	675	0.8	0.4	1000	0.1	0.5	1	2	7
Test7Rep3	9743	0.8	0.4	1000	0.1	0.5	1	3	7
Test7Rep4	7712	0.8	0.4	1000	0.1	0.5	1	4	7
Test7Rep5	5131	0.8	0.4	1000	0.1	0.5	1	5	7
Test7Rep6	5160	0.8	0.4	1000	0.1	0.5	1	6	7
Test7Rep7	9079	0.8	0.4	1000	0.1	0.5	1	7	7
Test7Rep8	1881	0.8	0.4	1000	0.1	0.5	1	8	7
Test7Rep9	6691	0.8	0.4	1000	0.1	0.5	1	9	7
Test7Rep10	6301	0.8	0.4	1000	0.1	0.5	1	10	7
